model,provider,priced_as,CER,list_usd_per_hour,effective_usd_per_hour,test_set_cost_usd,clips_priced,cost_type,billing_rules,note,source_url,checked
soniox_rt_streaming,Soniox,Speech-to-Text Real-time (streaming),0.0736,0.12,0.1747,0.1455,1001,estimate,per token; input audio tokens count the streaming session duration,,https://soniox.com/pricing,2026-09-24
sarvam_saaras_realtime_streaming,Sarvam AI,Speech to Text (Streaming),0.0896,0.3126,0.3647,0.3036,1001,estimate,"per hour, billed per second; rounding each session up to the second is our assumption",,https://www.sarvam.ai/api-pricing,2026-09-24
deepgram_nova3_streaming,Deepgram,"Nova-3 Monolingual, Streaming, Pay As You Go (regular price)",0.1749,0.462,0.462,0.3846,1001,exact,true per-second billing,Deepgram is showing a temporary discounted price of $0.0048/min ($0.288/hour) at the time of checking; the regular price is used.,https://deepgram.com/pricing,2026-09-24
google_chirp2_streaming,Google Cloud Speech-to-Text V2,"V2 Standard recognition, 0-500,000 min/month",0.2363,0.96,1.1197,0.9317,1000,exact,one Recognition SKU for V2 (no separate streaming price listed); rounded up to the second,,https://cloud.google.com/speech-to-text/pricing,2026-09-24
openai_4o_streaming,OpenAI,gpt-4o-transcribe (published per-minute estimate),0.2458,0.36,0.36,0.2979,995,estimate,billed per token at the gpt-4o-transcribe rates; no separate realtime rate is published for this model,OpenAI now recommends gpt-live-transcribe ($0.017/minute) for live transcription; it was not tested.,https://developers.openai.com/api/docs/pricing,2026-09-24
elevenlabs_scribe_streaming,ElevenLabs,Scribe v2 Realtime,0.3855,0.39,0.39,0.3247,1001,estimate,per hour; session rounding not published,,https://elevenlabs.io/pricing/api,2026-09-24
gemini_25_flash_streaming,Google Gemini API,"Gemini 2.5 Flash Native Audio (Live API), paid tier",0.6957,0.3456,0.3456,0.2867,997,minimum,per token; input audio $3.00/1M; output audio $12.00/1M and text $2.00/1M -- output not included here,"Minimum: covers audio input only. The Live API also generates and bills a spoken reply, which the benchmark did not measure, so real cost is higher.",https://ai.google.dev/gemini-api/docs/pricing,2026-09-24
