model,audio_books,biography,celebrity_interview,class_lecture,documentary,drama_series,kid_cartoon,kid_voice,medicine,parliament_speech,political_talkshow,sports,television_news
deepgram_nova3,0.0518,0.0876,0.0903,0.1236,0.0459,0.1077,0.1109,0.1135,0.0943,0.1065,0.1015,0.1312,0.1059
elevenlabs_scribe,0.0984,0.0924,0.0977,0.2081,0.0814,0.111,0.0858,0.0628,0.4713,0.1351,0.1328,0.2538,0.0851
gemini_25_flash,0.2264,0.0876,0.1367,0.1126,0.1319,0.1585,0.2052,0.0582,0.1479,0.1474,0.1578,0.1078,0.1249
google_chirp2,0.2421,0.1284,0.2159,0.1741,0.1246,0.2559,0.2515,0.1991,0.2382,0.1508,0.3522,0.341,0.1884
groq_whisper,0.2412,0.2298,0.3183,0.3408,0.2323,0.3276,0.2713,0.2546,0.3393,0.3857,0.3148,0.3555,0.3085
openai_4o,0.1158,0.1714,0.3043,0.3393,0.2249,0.3164,0.4061,0.1924,0.2704,0.3789,0.3266,0.3456,0.2611
sarvam_saarika,0.0966,0.0829,0.0462,0.0604,0.0687,0.0584,0.0796,0.047,0.0797,0.0566,0.0862,0.0913,0.0802
soniox,0.0575,0.0485,0.0625,0.1224,0.0594,0.0804,0.0912,0.0457,0.1001,0.0703,0.0826,0.1384,0.0854
