model,provider,priced_as,CER,list_usd_per_hour,effective_usd_per_hour,test_set_cost_usd,clips_priced,cost_type,billing_rules,note,source_url,checked
sarvam_saarika,Sarvam AI,Speech to Text (Real-time API),0.0685,0.3126,0.3647,0.3036,1001,estimate,"per hour, billed per second; rounding each request up to the second is our assumption","Sarvam's docs now list Saarika (the model tested, saarika:v2.5) as deprecated; the price is for the Speech to Text service, not a specific model.",https://www.sarvam.ai/api-pricing,2026-09-24
soniox,Soniox,Speech-to-Text Async (file),0.0813,0.0975,0.1024,0.0852,1001,estimate,"per token; audio ~30,000 tokens/hour, output ~0.3 tokens/character (Soniox's approximations)",,https://soniox.com/pricing,2026-09-24
deepgram_nova3,Deepgram,"Nova-3 Monolingual, Pre-Recorded, Pay As You Go",0.101,0.258,0.258,0.2146,1000,exact,"true per-second billing, no rounding",Bengali (language=bn) is a single-language setting; Deepgram's Multilingual tier ($0.0052/min) is for language=multi code-switching. Monolingual tier applied.,https://deepgram.com/pricing,2026-09-24
gemini_25_flash,Google Gemini API,"gemini-2.5-flash, Standard, paid tier",0.1332,0.1152,0.1152,0.0959,1001,minimum,per token; audio = 32 tokens/second. Output $2.50/1M tokens including thinking tokens -- not included here,"Minimum: covers audio input only. The benchmark did not record output/thinking token usage, and gemini-2.5-flash thinks by default, so real cost is higher.",https://ai.google.dev/gemini-api/docs/pricing,2026-09-24
elevenlabs_scribe,ElevenLabs,Scribe v2 (Speech to Text API),0.1466,0.22,0.22,0.1832,1001,estimate,per hour of audio; per-request rounding not published,"The model tested, scribe_v1, is no longer on the pricing page (ElevenLabs changelog 2026-06-08: 'scribe_v1 ... will be removed on July 9, 2026'). Scribe v2's price is shown.",https://elevenlabs.io/pricing/api,2026-09-24
google_chirp2,Google Cloud Speech-to-Text V2,"V2 Standard recognition, 0-500,000 min/month",0.2193,0.96,1.1197,0.9312,1000,exact,each request rounded up to the nearest second; no V2 free tier,The page lists the 'chirp' family as Standard; chirp_2 is assumed to be billed at the same Standard rate. Google also offers Dynamic Batch Recognition at $0.003/min for non-urgent batch jobs; the benchmark used synchronous recognition.,https://cloud.google.com/speech-to-text/pricing,2026-09-24
openai_4o,OpenAI,gpt-4o-transcribe (published per-minute estimate),0.2866,0.36,0.36,0.2997,1001,estimate,"billed per token (audio input $2.50/1M, output $10.00/1M); OpenAI publishes $0.006/min as the estimated cost",,https://developers.openai.com/api/docs/pricing,2026-09-24
groq_whisper,Groq,whisper-large-v3,0.3069,0.111,0.3763,0.3133,1001,estimate,"$0.111/hour, minimum 10 seconds billed per request; rounding above 10 s not published (none assumed; affects 27 of 1001 clips)",,https://console.groq.com/docs/speech-to-text,2026-09-24
