model,files_scored,CER,CER_ci_low,CER_ci_high,WER,WER_ci_low,WER_ci_high
sarvam_saarika,1001,0.0685,0.0623,0.075,0.1817,0.1702,0.1933
soniox,1001,0.0813,0.0733,0.0897,0.215,0.2013,0.2289
deepgram_nova3,1000,0.101,0.0921,0.1107,0.2391,0.2249,0.2542
gemini_25_flash,1001,0.1332,0.1225,0.1452,0.2699,0.2547,0.2862
elevenlabs_scribe,1001,0.1466,0.1332,0.1609,0.2603,0.244,0.2769
google_chirp2,1000,0.2193,0.1993,0.241,0.4141,0.3893,0.4405
openai_4o,1001,0.2866,0.2642,0.3107,0.4507,0.4287,0.4732
groq_whisper,1001,0.3069,0.2915,0.3238,0.7165,0.7003,0.733
