model,audio_books,biography,celebrity_interview,class_lecture,documentary,drama_series,kid_cartoon,kid_voice,medicine,parliament_speech,political_talkshow,sports,television_news
deepgram_nova3_streaming,0.0971,0.0941,0.1615,0.2501,0.1088,0.2026,0.2044,0.2137,0.1459,0.1623,0.1421,0.173,0.2069
elevenlabs_scribe_streaming,0.2612,0.3312,0.3321,0.4339,0.385,0.2957,0.3671,0.3224,0.7462,0.3599,0.3686,0.5581,0.27
gemini_25_flash_streaming,0.4937,0.6077,0.747,0.7638,0.6173,0.7497,0.7705,0.7819,0.7424,0.6612,0.5965,0.675,0.644
google_chirp2_streaming,0.2421,0.1284,0.2236,0.1879,0.1373,0.3435,0.2519,0.2669,0.2382,0.141,0.3522,0.341,0.1824
openai_4o_streaming,0.0914,0.0975,0.2178,0.3709,0.1289,0.4033,0.3536,0.295,0.1924,0.2102,0.2308,0.2363,0.1827
sarvam_saaras_realtime_streaming,0.0966,0.0829,0.0473,0.0615,0.0687,0.1534,0.1731,0.1029,0.0808,0.0597,0.0873,0.0948,0.0823
soniox_rt_streaming,0.0353,0.0477,0.0453,0.1319,0.0459,0.0834,0.08,0.0424,0.0859,0.0664,0.0616,0.1453,0.0588
