model,files_scored,coverage,CER,WER,mean_latency_s,rtfp50,rtfp95
sarvam_saarika,1001,1.0,0.0685,0.1817,0.99,0.4252,0.9601
soniox,1001,1.0,0.0813,0.215,7.58,3.5374,8.7365
deepgram_nova3,1000,0.999,0.101,0.2391,2.15,0.90625,2.328295
gemini_25_flash,1001,1.0,0.1332,0.2699,3.85,1.7935,4.1956
elevenlabs_scribe,1001,1.0,0.1466,0.2603,1.39,0.6188,1.3595
google_chirp2,1000,0.999,0.2193,0.4141,4.13,1.80565,4.248349999999999
openai_4o,1001,1.0,0.2866,0.4507,1.11,0.4973,1.0879
groq_whisper,1001,1.0,0.3069,0.7165,0.66,0.276,0.5434
